Prompt_ID,Brand,Mention,Rank,Total_Posts,Positive_Proportion,Trust_Score,Product_Strength,Marketing_Strength
7,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
7,Bose,1,,33814,0.24,4.674,4.17,0.92886686
7,Sennheiser,1,,10389,0.07,4.24,4.25,0.06033231
7,SoundCore,1,,6416,0.3,4.405,4.17,0.48841749
7,JBL,0,,12203,0.22,4.394,4.22,0.62340474
7,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
7,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
8,Sony,1,3.0,39105,0.17,4.434,4.14,0.64553685
8,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
8,Sennheiser,0,,10389,0.07,4.24,4.25,0.06033231
8,SoundCore,1,1.0,6416,0.3,4.405,4.17,0.48841749
8,JBL,0,,12203,0.22,4.394,4.22,0.62340474
8,Nothing,0,,4408,0.09,4.15,3.62,0.36723699
8,Edifier,0,,28977,0.12,4.23,4.23,0.46449625
9,Sony,1,1.0,39105,0.17,4.434,4.14,0.64553685
9,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
9,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
9,SoundCore,1,5.0,6416,0.3,4.405,4.17,0.48841749
9,JBL,1,4.0,12203,0.22,4.394,4.22,0.62340474
9,Nothing,1,7.0,4408,0.09,4.15,3.62,0.36723699
9,Edifier,1,6.0,28977,0.12,4.23,4.23,0.46449625
10,Sony,1,2.0,39105,0.17,4.434,4.14,0.64553685
10,Bose,1,1.0,33814,0.24,4.674,4.17,0.92886686
10,Sennheiser,1,3.0,10389,0.07,4.24,4.25,0.06033231
10,SoundCore,1,6.0,6416,0.3,4.405,4.17,0.48841749
10,JBL,1,5.0,12203,0.22,4.394,4.22,0.62340474
10,Nothing,1,4.0,4408,0.09,4.15,3.62,0.36723699
10,Edifier,1,7.0,28977,0.12,4.23,4.23,0.46449625
11,Sony,1,2.0,39105,0.17,4.434,4.14,0.64553685
11,Bose,1,3.0,33814,0.24,4.674,4.17,0.92886686
11,Sennheiser,1,1.0,10389,0.07,4.24,4.25,0.06033231
11,SoundCore,1,4.0,6416,0.3,4.405,4.17,0.48841749
11,JBL,1,5.0,12203,0.22,4.394,4.22,0.62340474
11,Nothing,1,7.0,4408,0.09,4.15,3.62,0.36723699
11,Edifier,1,6.0,28977,0.12,4.23,4.23,0.46449625
12,Sony,1,2.0,39105,0.17,4.434,4.14,0.64553685
12,Bose,1,3.0,33814,0.24,4.674,4.17,0.92886686
12,Sennheiser,1,1.0,10389,0.07,4.24,4.25,0.06033231
12,SoundCore,1,6.0,6416,0.3,4.405,4.17,0.48841749
12,JBL,1,4.0,12203,0.22,4.394,4.22,0.62340474
12,Nothing,1,7.0,4408,0.09,4.15,3.62,0.36723699
12,Edifier,1,5.0,28977,0.12,4.23,4.23,0.46449625
13,Sony,1,2.0,39105,0.17,4.434,4.14,0.64553685
13,Bose,1,2.0,33814,0.24,4.674,4.17,0.92886686
13,Sennheiser,1,4.0,10389,0.07,4.24,4.25,0.06033231
13,SoundCore,1,1.0,6416,0.3,4.405,4.17,0.48841749
13,JBL,1,3.0,12203,0.22,4.394,4.22,0.62340474
13,Nothing,1,7.0,4408,0.09,4.15,3.62,0.36723699
13,Edifier,1,2.0,28977,0.12,4.23,4.23,0.46449625
14,Sony,1,,39105,0.17,4.434,4.14,0.64553685
14,Bose,1,,33814,0.24,4.674,4.17,0.92886686
14,Sennheiser,1,,10389,0.07,4.24,4.25,0.06033231
14,SoundCore,1,,6416,0.3,4.405,4.17,0.48841749
14,JBL,1,,12203,0.22,4.394,4.22,0.62340474
14,Nothing,1,,4408,0.09,4.15,3.62,0.36723699
14,Edifier,1,,28977,0.12,4.23,4.23,0.46449625
